filepath,filename,label,second,player,group
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p0_v5.jpg,sec_0029_p0_v5.jpg,0_healthy,29,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p0_v6.jpg,sec_0029_p0_v6.jpg,0_healthy,29,p0,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p1_v5.jpg,sec_0029_p1_v5.jpg,0_healthy,29,p1,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p1_v6.jpg,sec_0029_p1_v6.jpg,0_healthy,29,p1,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p2_v5.jpg,sec_0029_p2_v5.jpg,0_healthy,29,p2,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p2_v6.jpg,sec_0029_p2_v6.jpg,0_healthy,29,p2,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p3_v5.jpg,sec_0029_p3_v5.jpg,0_healthy,29,p3,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0029_p3_v6.jpg,sec_0029_p3_v6.jpg,0_healthy,29,p3,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p0_v5.jpg,sec_0032_p0_v5.jpg,0_healthy,32,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p0_v6.jpg,sec_0032_p0_v6.jpg,0_healthy,32,p0,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p1_v5.jpg,sec_0032_p1_v5.jpg,0_healthy,32,p1,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p1_v6.jpg,sec_0032_p1_v6.jpg,0_healthy,32,p1,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p2_v5.jpg,sec_0032_p2_v5.jpg,0_healthy,32,p2,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p2_v6.jpg,sec_0032_p2_v6.jpg,0_healthy,32,p2,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p3_v5.jpg,sec_0032_p3_v5.jpg,0_healthy,32,p3,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0032_p3_v6.jpg,sec_0032_p3_v6.jpg,0_healthy,32,p3,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p0_v5.jpg,sec_0035_p0_v5.jpg,0_healthy,35,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p0_v6.jpg,sec_0035_p0_v6.jpg,0_healthy,35,p0,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p1_v5.jpg,sec_0035_p1_v5.jpg,0_healthy,35,p1,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p1_v6.jpg,sec_0035_p1_v6.jpg,0_healthy,35,p1,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p2_v5.jpg,sec_0035_p2_v5.jpg,0_healthy,35,p2,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p2_v6.jpg,sec_0035_p2_v6.jpg,0_healthy,35,p2,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p3_v5.jpg,sec_0035_p3_v5.jpg,0_healthy,35,p3,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0035_p3_v6.jpg,sec_0035_p3_v6.jpg,0_healthy,35,p3,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p0_v5.jpg,sec_0038_p0_v5.jpg,0_healthy,38,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p0_v6.jpg,sec_0038_p0_v6.jpg,0_healthy,38,p0,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p1_v5.jpg,sec_0038_p1_v5.jpg,0_healthy,38,p1,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p1_v6.jpg,sec_0038_p1_v6.jpg,0_healthy,38,p1,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p2_v5.jpg,sec_0038_p2_v5.jpg,0_healthy,38,p2,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p2_v6.jpg,sec_0038_p2_v6.jpg,0_healthy,38,p2,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p3_v5.jpg,sec_0038_p3_v5.jpg,0_healthy,38,p3,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0038_p3_v6.jpg,sec_0038_p3_v6.jpg,0_healthy,38,p3,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p0_v5.jpg,sec_0041_p0_v5.jpg,0_healthy,41,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p0_v6.jpg,sec_0041_p0_v6.jpg,0_healthy,41,p0,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p1_v5.jpg,sec_0041_p1_v5.jpg,0_healthy,41,p1,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p1_v6.jpg,sec_0041_p1_v6.jpg,0_healthy,41,p1,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p2_v5.jpg,sec_0041_p2_v5.jpg,0_healthy,41,p2,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p2_v6.jpg,sec_0041_p2_v6.jpg,0_healthy,41,p2,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p3_v5.jpg,sec_0041_p3_v5.jpg,0_healthy,41,p3,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0041_p3_v6.jpg,sec_0041_p3_v6.jpg,0_healthy,41,p3,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p0_v5.jpg,sec_0044_p0_v5.jpg,0_healthy,44,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p0_v6.jpg,sec_0044_p0_v6.jpg,0_healthy,44,p0,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p1_v5.jpg,sec_0044_p1_v5.jpg,0_healthy,44,p1,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p1_v6.jpg,sec_0044_p1_v6.jpg,0_healthy,44,p1,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p2_v5.jpg,sec_0044_p2_v5.jpg,0_healthy,44,p2,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p2_v6.jpg,sec_0044_p2_v6.jpg,0_healthy,44,p2,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p3_v5.jpg,sec_0044_p3_v5.jpg,0_healthy,44,p3,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0044_p3_v6.jpg,sec_0044_p3_v6.jpg,0_healthy,44,p3,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p0_v5.jpg,sec_0047_p0_v5.jpg,0_healthy,47,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p0_v6.jpg,sec_0047_p0_v6.jpg,0_healthy,47,p0,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p1_v5.jpg,sec_0047_p1_v5.jpg,0_healthy,47,p1,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p1_v6.jpg,sec_0047_p1_v6.jpg,0_healthy,47,p1,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p2_v5.jpg,sec_0047_p2_v5.jpg,0_healthy,47,p2,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p2_v6.jpg,sec_0047_p2_v6.jpg,0_healthy,47,p2,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p3_v5.jpg,sec_0047_p3_v5.jpg,0_healthy,47,p3,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0047_p3_v6.jpg,sec_0047_p3_v6.jpg,0_healthy,47,p3,v06
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0050_p0_v5.jpg,sec_0050_p0_v5.jpg,0_healthy,50,p0,v05
D:\桌面\Morden AI games\MGAIA_Final_Project\cnn\datasets\0_healthy\sec_0050_p0_v6.jpg,sec_0050_p0_v6.jpg,0_healthy,50,p0,v06
